# eigen3_x eigen3_y eigen3_z x1 y1 z1 x2 y2 z2 nx ny nz
0.127924 0.984903 0.116630 52.845000 161.952000 14.933000 52.889000 162.194000 15.000000 -0.564000 0.010000 0.335000
-0.986896 -0.146004 0.068690 52.933000 119.418000 142.819000 53.220000 119.504000 142.514000 0.190000 -0.926000 -0.084000
0.889101 -0.241986 0.388513 53.514000 214.589000 41.875000 53.889000 214.534000 42.043000 0.059000 -0.210000 -0.199000
0.704369 -0.467804 0.533877 53.689000 108.787000 24.624000 53.197000 109.158000 24.257000 -0.491000 -0.298000 0.357000
0.859313 -0.284874 0.424768 53.889000 214.534000 42.043000 53.514000 214.589000 41.875000 0.059000 -0.210000 -0.199000
0.837678 -0.518186 0.172566 54.033000 40.833000 44.853000 54.257000 40.543000 44.724000 -0.348000 -0.389000 0.269000
-0.095290 0.953226 0.286844 54.077000 219.870000 147.501000 54.022000 220.413000 147.878000 -0.621000 -0.046000 -0.023000
-0.064710 -0.366191 0.928287 54.108000 187.048000 45.428000 54.141000 187.051000 44.995000 -0.790000 -0.023000 -0.060000
-0.064710 -0.366191 0.928287 54.141000 187.051000 44.995000 54.108000 187.048000 45.428000 -0.790000 -0.023000 -0.060000
-0.494376 0.471691 0.730137 54.173000 242.835000 219.383000 54.048000 242.997000 219.601000 0.125000 0.060000 0.027000
0.837678 -0.518186 0.172566 54.257000 40.543000 44.724000 54.033000 40.833000 44.853000 -0.348000 -0.389000 0.269000
0.036954 -0.260100 0.964874 54.606000 119.775000 222.098000 54.494000 119.729000 222.109000 0.210000 -0.546000 -0.135000
0.446416 0.717064 0.535286 54.665000 140.149000 77.680000 55.165000 140.868000 78.091000 0.853000 -0.439000 -0.268000
-0.913567 -0.400339 0.071585 56.174000 102.755000 47.183000 56.528000 103.151000 47.261000 -0.166000 0.291000 -0.731000
0.746857 -0.359823 0.559225 56.304000 48.869000 205.400000 55.925000 49.135000 205.015000 0.288000 -0.531000 -0.650000
-0.913567 -0.400339 0.071585 56.528000 103.151000 47.261000 56.174000 102.755000 47.183000 -0.166000 0.291000 -0.731000
-0.842365 -0.178001 0.508662 56.945000 74.730000 190.710000 56.496000 74.611000 190.980000 -0.175000 0.163000 -0.219000
-0.881915 0.470300 0.032321 57.484000 31.420000 189.191000 57.095000 31.616000 189.104000 -0.220000 -0.338000 0.224000
-0.908966 -0.320591 0.266463 57.538000 198.496000 87.128000 57.159000 198.493000 86.970000 0.140000 -0.710000 -0.320000
0.471998 -0.754561 0.455912 58.289000 101.911000 237.250000 58.529000 101.678000 237.043000 0.648000 0.496000 0.193000
0.884000 0.017729 0.467150 58.955000 25.387000 172.625000 58.351000 25.406000 172.444000 -0.046000 -0.225000 0.131000
0.604538 0.207121 0.769178 59.344000 245.293000 189.288000 59.483000 245.231000 189.141000 -0.024000 -0.706000 0.278000
