#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2
#        5520
   8.486 129.233  61.235  4.5447e+11   8.230 129.284  61.647  6.9438e+12  -0.059   0.225  -0.065   0.032   0.035
   8.516 235.676 219.379  3.3374e+12   8.244 235.660 219.052  2.5867e+11   0.618  -0.453  -0.492   0.271   0.203
   8.546 248.884  67.817  6.8700e+10   8.301 249.167  67.650  3.8889e+11   0.436   0.212  -0.281   0.234   0.176
   8.572  83.752 172.428  7.2304e+11   8.632  83.493 172.811  2.7575e+11   0.629   0.251   0.071   0.415   0.381
   8.588  20.000  44.278  2.2520e+11   8.828  20.068  44.008  6.8835e+10   0.433   0.284   0.456   0.433   0.422
   8.706 226.422 188.309  2.3482e+11   8.594 226.318 188.689  4.9661e+11  -0.025  -0.468  -0.136   0.083   0.066
   8.744  71.857  75.374  9.0515e+10   8.847  72.344  75.793  4.3415e+11  -0.152   0.072  -0.046   0.000   0.000
   8.766 162.439 134.715  1.8081e+12   8.781 162.203 134.252  1.1068e+13   0.445  -0.505   0.273   0.135   0.077
   8.779 226.273 208.238  3.5056e+12   8.613 225.736 208.080  2.2470e+12   0.242  -0.011  -0.218   0.242   0.239
   8.784  22.839 231.012  6.1924e+10   8.450  23.073 230.998  2.1829e+11   0.091   0.099  -0.532   0.116   0.114
   8.849 222.737 104.382  3.2602e+11   8.648 222.490 104.542  9.2927e+11   0.200   0.247   0.632   0.107   0.109
   8.851 194.271 236.889  5.4567e+11   8.789 194.029 237.205  4.3415e+11  -0.308   0.084   0.004   0.034   0.022
   8.852 122.090 190.037  5.4336e+10   9.205 122.142 189.896  6.6504e+11   0.026   0.711   0.323   0.278   0.253
   8.879 208.259 223.036  3.9973e+10   9.082 208.045 223.236  9.4716e+10   0.193   0.092  -0.097   0.170   0.218
   8.913 158.615 213.811  4.0183e+12   8.986 159.002 213.507  2.1453e+12  -0.316   0.059  -0.001   0.129   0.220
